content,label,title,tag,pre_label,confidence,pre_label_round
现在 科学家 都 这么 闲 了 吗 ? 谢谢 你 告诉 我 这么 重要 的 结论 啊 ！ （ 转 ）,0,[ ],[ ' 乐享 时光 ' ],0.0,0.9999991,0.0009968508
这是 宁波 东部 新城 门户 区 2B - U 地块 ， 即将 落成 的 西班牙 设计师 的 超现实 作品 。 主刀 结构设计 的 是 设计 央视 大 裤衩 的 结构 工程师 。 绝对 是 技术 帝 啊 ， 怎么 解决 会 拐弯 的 电梯 呢 ？ ？ 地产 人 给 的 评语 是 ： 技术难题 不 可怕 ， 可怕 的 是 这 难题 竟然 给 攻破 了 啊 ！ 亲 ， 你 上班 会 害怕 吗 ？ ？ by 徐 明达 FC,1,[ ' 【 劲 爆 ： 宁波 劈腿楼 。 。 。 】 ' ],[ ],1.0,0.9999991,0.9988641
全面 屏 手机 时代 即将 到来 。 如此一来 前后 指纹 已 成为 过去 式 ， 所有 手机 设计 上 又 将 站 在 同一 起跑线 了 ， 大家 觉得 屏幕 内 指纹 解锁 帅不帅 ？,0,[ ' 【 vivo 隐形 指纹 技术 正式 亮相 】 ' ],[ ],0.0,0.9999991,8.514741e-06
这是 宁波 东部 新城 门户 区 2B - U 地块 ， 即将 落成 的 西班牙 设计师 的 超现实 作品 。 主刀 结构设计 的 是 设计 央视 大 裤衩 的 结构 工程师 。 绝对 是 技术 帝 啊 ， 怎么 解决 会 拐弯 的 电梯 呢 ？ ？ 地产 人 给 的 评语 是 ： 技术难题 不 可怕 ， 可怕 的 是 这 难题 竟然 给 攻破 了 啊 ！ 亲 ， 你 上班 会 害怕 吗 ？ ？,1,[ ' 【 劲 爆 ： 宁波 劈腿楼 。 。 。 】 ' ],[ ],1.0,0.9999991,0.9989033
今天 ， 我国 ARJ21 新 支线 飞机 从 上海 飞往 成都 ， 正式 交付给 成都 航空公司 。 这 是 继 11 月 2 日 C919 大型 客机 总装 下线 后 ， 我国 航空工业 又 一 重大突破 。 标志 着 国内航线 将 首次 拥有 自己 的 喷气式 支线 客机 ！ 中国 ， 加入 了 世界 商用 飞机 的 家族 ！ 为 中国 点赞 ！,0,[ ' 【 国产 首架 ARJ21 支线 客机 今 交付 】 ' ],[ ' 民生 ' ],0.0,0.9999991,0.023995131
我国 自行 研制 的 机器人 美女 ， 超过 世界 上 任何 国家 ， 在 上海 庆祝 祖国 70 年 之际 。 表演 舞蹈 ( 一条 大河 ) 先睹为快 ， 快 看 并 转发 吧 。 董郎行 的 微博 视频,1,[ ],"[ ' 我爱你 中国 ' ,   ' 国庆节 ' ]",1.0,0.9999991,0.9876798
互粉 我国 自行 研制 的 机器人 美女 ， 超过 世界 上 任何 国家 ， 在 上海 庆祝 祖国 70 年 之际 。 表演 舞蹈 ( 一条 大河 ) 先睹为快 果粒橙乐 的 微博 视频,1,[ ],[ ],1.0,0.9999991,0.97062474
教 吃货 们 几款 小 零食 的 自制 方法 ， 自己 动手 ， 丰衣足食 ~ 一 起来 新技能 get ！,0,[ ],[ ],0.0,0.9999991,0.00088638236
酸辣粉 的 9 种 不同 做法 ， 赶紧 get 起来 ， 转需 ！,0,[ ],[ ],0.0,0.9999991,4.8284688e-05
诺奖 评委会 秘书长 沃尔本 - 林 达勒 ： 全球 97 个 国家 与 地区 的 33 亿 人口 仍 在 遭受 疟疾 威胁 ， 70% 的 非洲 疟疾 患者 应用 青蒿素 复方 药物 治疗 。 “ 屠 呦 呦 不论是 从 学术 上 还是 生活 上 都 是 一个 很 了不起 的 人 。 作为 获奖 人 ， 她 的 经历 是 独一无二 的 。 ” 祝贺 ， 致敬 ！,0,[ ' 【 诺奖 评委 ： 不论 学术 还是 生活 ， 屠 呦 呦 都 是 很 了不起 的 人 [ good ] 】 ' ],[ ],0.0,0.9999991,9.690921e-05
我 才 知道 原来 微博 也 可以 查看 最近 访客 的 。 害 我 那么 肆无忌惮 ， 情 何以堪 啊 我 ！,1,[ ],[ ],1.0,0.9999991,0.99992675
2020AIIA 人工智能 开发者 大会 9 月 28 日至 29 日 在 中关村 举行 ； 2020 中国 绿 公司 年会 9 月 28 日至 30 日 在 海口 举办 ； 第二届 民航 通航 发展 大会 9 月 28 日至 29 日 在 太原 召开 ； 统计局 9 月 30 日 公布 中国 采购 经理 指数 月度 报告 ； 阿里巴巴 9 月 30 日 召开 年度 股东大会 。,0,[ ],[ ],0.0,0.9999991,0.040065136
罗 昌平 ： 新冠 疫情 以来 ， 几位 院士 丑态百出 ： 有 的 谎话 连篇 ， 有 的 如 门外汉 ， 有 的 客串 公关 念错 稿子 ， 感觉 院士 名额 就是 各种 既利 集团 分 猪肉 一样 得来 的 。 屠 呦 呦 先生 拿过 诺贝尔 医学奖 ， 虽说 科研经费 分配 可能 吃亏 ， 但 晚节 比 头衔 更 重要 ， 不要 也罢 ！,1,[ ],[ ],1.0,0.9999991,0.7709677
一分钟 酸奶 蛋糕 ， 简单 易学 ， 吃货 快 get 起来 ~,0,[ ],[ ],0.0,0.9999991,0.0013989242
硬 科技 是 事关 国家 发展 的 关键技术 ， 是 国家 经济 创新 发展 的 基石 。 白皮书 从 硬 科技 发展 现状 、 硬 科技 发展 态势 、 硬 科技 应用 于 发展 协同 、 硬 科技 发展前景 展望 四大 方面 ， 对 中国 硬 科技 创新 发展 进行 了 多方面 解读 ， 并 通过 城市 硬 科技 创新 指标 ， 对 中国 38 个城 ...,0,[ ' 【 亿欧 & amp ; 中国科学院 ： 2020 中国 硬 科技 创新 白皮书 （ 附 下载 ） 】 ' ],[ ],0.0,0.9999991,3.9765993e-05
太好了 ， 最好 全都 死光光 ! ! ! 日美 海上 军演 发生 直升机 相撞 ， 造成 日 自卫队 36 人 死亡 - 据 日本 朝日新闻 报道 17 日 凌晨 日美 海上 演习 时 两架 阿帕奇 直升机 发生 相撞 事故 ， 日本自卫队 36 人 下落不明 ， 日本 防卫 省 正在 调查 事故 原因 ， 自 今天下午 14 点 已经 发现 33 具 ... O,1,[ ],[ ],1.0,0.9999991,0.9999749
国防部 公布 美军 机闯 南海 细节 ， 10 日 凌晨 美军 2 架 B - 52 轰炸机 擅自 进入 南沙群岛 有关 岛礁 临近 空域 。 中国 军队 对 美军 机 保持 严密 监视 。 守礁 部队 高度 戒备 ， 对 美军 机 予以 警告 驱离 。 国防部 称 ， 美方 所作所为 是 一种 严重 的 军事挑衅 行为 。,0,[ ' 【 国防部 回应 美军 机闯 南海 ： 守礁 部队 对 其 警告 驱离 】 ' ],[ ' 时局 ' ],0.0,0.9999991,0.0081014745
李 双江 之子 李 天一 涉嫌 强奸罪 于 7 日 被 批捕 。 李 的 76 人 律师团 领队 、 法律 大学 副校长 张 爱国 教授 对 媒体 表示 ， 李 天一 因 第一个 与 被害 女子 发生 性关系 ， 不 构成 轮奸 罪 ， 只是 以 判罚 较轻 的 强奸罪 批捕 ， 这是 律师团 所有 成员 共同努力 的 结果 。,1,[ ' 【 这样 的 逻辑 ， 要 把 李 天一 害死 ！ 领头 的 老大 最 轻 ！ 】 ' ],[ ],1.0,0.9999991,0.99996394
日本 右翼 分子 抵 钓鱼岛 海域 ， 日本 13 艘 海保厅 船 护送 保驾 … … 这 不是 民间 行为 ， 已经 是 官方 的 正式 行动 了 ！ 中国政府 ， 你 在 哪里 ？ 钓鱼岛 呼唤 你,1,[ ],[ ],1.0,0.9999991,0.99850655
今天 重大事件 求证 ： 日本 最新 的 宙斯 盾级 足 柄 号 驱逐舰 当场 被 击中 沉没 ， 金刚 号 严重 受创 ， 白 根号 护卫舰 在 返航 途中 沉没 。 中国 海军 徐州 号 受创 ， 海监 船 当场 沉没 一艘 ， 潜艇 安全 返航 。 目前 双方 人员伤亡 情况不明 ， 但 钓鱼岛 已 被 中国 军队 控制 。 中国 东海舰队 福建 军区 已 进入 紧急 战备 状态 。 我 在 :,1,[ ],[ ],1.0,0.9999991,0.99992436
