content,label,title,tag,predicted_label,result
XP/WIN7系统都会默认限制20％的网速，我们可以很轻松地解除这个限制，使你的上网速度达到100%，真正地体验冲浪的感觉~！本教程仅供技术交流，喜欢赶紧转走吧！学电脑，请关注黑客是这样练成的,1,['【别怪网速太慢，只怪自己不会调网速！】'],[],0,FALSE
今天，我国ARJ21新支线飞机从上海飞往成都，正式交付给成都航空公司。这是继11月2日C919大型客机总装下线后，我国航空工业又一重大突破。标志着国内航线将首次拥有自己的喷气式支线客机！中国，加入了世界商用飞机的家族！为中国点赞！,0,['【国产首架ARJ21支线客机今交付】'],['民生'],1,FALSE
iPhone5粉红款！女生的最爱！iPhone5首次曝光，即将上市。1.5GHzA4处理器，使用全新材质氮涂层外壳，这种氮涂层外壳具有防划防磨的特效。800万传感器，而且iPhone5完全解决了信号问题，并将支持4G连接，拥有32GB内存或64GB。喜欢的话，转发哈！,1,[],[],0,FALSE
日本富士新闻网报道，据日本政府人士透露，两艘中国海军护卫舰出现在钓鱼岛西北80海里海域。这是中国海军首次出现在这一地区。,0,['【日媒称中国海军护卫舰出现在钓鱼岛附近】'],[],1,FALSE
近日，有卫星拍摄到了“美国”号航母被8艘军舰“围观”的照片，同时在美国官方的大图上一些我军054A护卫舰和052D驱逐舰也出现在背景里。燃新闻的,0,['【中美海军南海“对峙”！8艘军舰强势“围观”美军准航母！】'],[],1,FALSE
皇军和八路军亲善珍贵史料流出,1,[],[],0,FALSE
药家鑫在看守所唱《传奇》的视频泄露之后，细心的再见华尔街发现台下领导席中坐着一位军装男子(第5分钟开始出现)，云中鹤138认为：他可能就是药家鑫父亲药青伟，是总后西安军事代表局驻西安的军代表。正团级军衔，副师级待遇。,1,[],[],0,FALSE
2月26日晚11点多，郑州巡警接到报警，说一个女孩在宾馆受到性侵犯。民警赶到现场时，受害人小王的老板说：“我是北京大学明伦管理学院的副院长，我叫王子涵，我告诉你，别拍了！”O,1,['【北大院长王子涵深夜性侵犯女孩】'],[],0,FALSE
"暴雪!沈阳部分学校已提前放学。为缓解家长晚上接孩子的交通压力,确保孩子安全,大学区决定提前放学,五年级今天放学时间为1:20!请家长尽量准时接孩子,,家长一定和校车司机沟通好!请放心,班主任老师会一直在教室陪伴!直到最后一个孩子接走!暴雪过后，很多人都找不到自己家！",0,[],['沈阳身边事'],1,FALSE
为增进同学之间的交往，培养健康的性取向和健康的人格，同时将学生宿舍管理工作与国际接轨！好先进，好羡慕嫉妒恨啊！,1,['【南京航空航天大学本科生可以申请男女合住】'],[],0,FALSE
1.现在睡觉的话，会做梦；而现在学习的话，会让梦实现。2.我无所事事的度过了今天，是昨天死去的人们所期望的明天。3.学习不是人生的全部，但学习都征服不了，那你还能做什么？4.今天不想走，明天就要跑了。5.此刻睡觉的口水将变成明天流下的泪水。,1,['【哈佛大学图书馆馆训】'],[],0,FALSE
4月25日，河南南阳一中学家长反映，学校没开学先收费，学费上涨1千，转账给班主任还需交1‰的手续费。校方回应，班主任对收费不了解，就按最高标准收的，因微信提现有手续费，班主任让把手续费一块转了，已整改。,0,['【中学交学费收1‰手续费，学校：微信提现有手续费，已整改】'],[],1,FALSE
如果真的对天一处罚，或者对他们高价生进行一些处理。那天一这个协议班得赔多少钱。所以很难看到最后这个事情有什么结果。黑啊，今天这天黑的吓人。,0,[],['河南专升本考生与辅导机构录音曝光'],1,FALSE
对不起我的财管老师微观经济老师半小时蒙完只求分数不要太丢人了,0,[],['军队文职考试'],1,FALSE
这是全世界文科生的榜样啊。！！我的世界观崩塌得一塌糊涂。。。。（by人人爱重庆）,0,[],[],1,FALSE
今天早上，一中考点，一群穿旗袍的妈妈们在门口着实靓丽。网传穿旗袍寓意着孩子“旗开得胜”，看来所传非虚。妈妈们用心良苦呀！加油！高考生！祝你们“旗开得胜”！（供图：梁小姐）,0,['【郴州一中门口妈妈们穿旗袍祝考生旗开得胜！】'],['郴州身边事'],1,FALSE
据本台记者消息，地震导致新北市一处变电箱爆炸，引发附近住宅发生火灾，致1死1伤。据统计，这次地震是今年台湾发生的第三起六级以上地震。,0,['【新北市一变电箱爆炸致1死1伤】'],['台湾地震'],1,FALSE
1月2日，广西贵港市港北区普罗旺斯幼儿园门口，一群孩子奔跑着过斑马线，两人被快速驶来的小轿车撞倒在地，其中一名幼儿倒地不起，另一名当场身亡！此次事故幼儿园老师和轿车司机都负有不可推卸的责任细思恐极的奇闻的微博视频,1,[],"['交通事故', '无力吐槽']",0,FALSE
在驾驶舱玻璃爆碎、仪表盘开裂、无线电中断、高空失压和零下几十度的恶劣情况下，靠目视成功备降，临危不乱英雄本色！他们是川航英雄机长刘传健、受伤的90后副机长、所有机组人员向他们致敬！日更视频的...,0,[],['川航英雄机长'],1,FALSE
人民网：失联航班或有乘客冒充他人混上飞机。详见新闻截图,0,[],[],1,FALSE
3月12日，一架载有71人的客机在尼泊尔首都加德满都降落时急转弯冲出跑道并引发大火，尼泊尔警方证实，已确认至少49人遇难。在乘客名单中，其中有一名三一重工员工张明，经确认，系常德桃源人。哀悼，走好！,0,['【尼泊尔坠机身亡的三一员工系常德人：同事发文悼念】'],['常德身边事'],1,FALSE
东方航空MU5843航班昆明飞成都。本来12.：30就该到成都的飞机，现在却因为双流机场上空无人机影响，迫降重庆了！无人机何时才能得到有效控制！成都商报成都晚报东方航空,0,[],[],1,FALSE
